Time (s),Pack Voltage (V),Cell 1 Voltage (V),Cell 2 Voltage (V),Cell 3 Voltage (V),Cell 4 Voltage (V),Tap 1S Cumulative Voltage (V),Tap 2S Cumulative Voltage (V),Tap 3S Cumulative Voltage (V),Tap 4S Cumulative Voltage (V),Current (A),Temperature (°C)
0.41,13.1137,3.3026,3.2680,3.3153,3.2278,3.3026,6.5706,9.8860,13.1137,9.0980,19.69
0.93,13.1690,3.3223,3.2817,3.3235,3.2416,3.3223,6.6039,9.9274,13.1690,8.2031,19.69
1.41,13.1690,3.3223,3.2817,3.3373,3.2278,3.3223,6.6039,9.9412,13.1690,8.2777,19.20
1.92,13.1690,3.3173,3.2783,3.3318,3.2416,3.3173,6.5956,9.9274,13.1690,8.2031,19.20
2.42,13.1506,3.3173,3.2866,3.3235,3.2232,3.3173,6.6039,9.9274,13.1506,8.1286,19.69
2.91,13.1506,3.3124,3.2832,3.3042,3.2508,3.3124,6.5956,9.8998,13.1506,8.0540,20.18
3.42,13.1506,3.3173,3.2699,3.3263,3.2370,3.3173,6.5873,9.9136,13.1506,8.2031,20.18
3.93,13.1506,3.3124,3.2748,3.3263,3.2370,3.3124,6.5873,9.9136,13.1506,8.2031,20.18
4.41,13.1506,3.3075,3.2798,3.3263,3.2370,3.3075,6.5873,9.9136,13.1506,8.2031,19.20
4.91,13.1506,3.3124,3.2748,3.3125,3.2508,3.3124,6.5873,9.8998,13.1506,8.2031,20.18
5.41,13.1506,3.3075,3.2714,3.3208,3.2508,3.3075,6.5789,9.8998,13.1506,8.2031,20.18
5.91,13.1506,3.3075,3.2714,3.3208,3.2508,3.3075,6.5789,9.8998,13.1506,8.2031,19.69
6.43,13.1506,3.3075,3.2714,3.3070,3.2646,3.3075,6.5789,9.8860,13.1506,8.1286,19.69
6.93,13.1137,3.3026,3.2764,3.3208,3.2140,3.3026,6.5789,9.8998,13.1137,8.1286,19.20
7.41,13.1137,3.3026,3.2764,3.3070,3.2278,3.3026,6.5789,9.8860,13.1137,8.1286,19.20
7.91,13.1321,3.3124,3.2665,3.3070,3.2462,3.3124,6.5789,9.8860,13.1321,8.2031,20.18
8.41,13.1321,3.3026,3.2680,3.3292,3.2324,3.3026,6.5706,9.8998,13.1321,8.1286,19.69
8.93,13.1137,3.3075,3.2714,3.3070,3.2278,3.3075,6.5789,9.8860,13.1137,8.1286,19.69
9.41,13.1321,3.3026,3.2680,3.3153,3.2462,3.3026,6.5706,9.8860,13.1321,8.2031,20.18
9.91,13.0953,3.3026,3.2680,3.3153,3.2093,3.3026,6.5706,9.8860,13.0953,8.1286,19.69
10.42,13.0953,3.3026,3.2764,3.3070,3.2093,3.3026,6.5789,9.8860,13.0953,8.1286,19.69
10.91,13.1137,3.3026,3.2680,3.3153,3.2278,3.3026,6.5706,9.8860,13.1137,8.2031,19.69
11.42,13.0953,3.3026,3.2680,3.3153,3.2093,3.3026,6.5706,9.8860,13.0953,8.1286,20.18
11.91,13.0953,3.3026,3.2680,3.3153,3.2093,3.3026,6.5706,9.8860,13.0953,8.1286,19.69
12.43,13.0953,3.2977,3.2730,3.3153,3.2093,3.2977,6.5706,9.8860,13.0953,8.2031,19.69
12.92,13.0953,3.2977,3.2646,3.3099,3.2231,3.2977,6.5623,9.8722,13.0953,8.1286,19.69
13.42,13.1137,3.3026,3.2680,3.3015,3.2416,3.3026,6.5706,9.8722,13.1137,8.0540,19.69
13.92,13.0953,3.2977,3.2646,3.2961,3.2370,3.2977,6.5623,9.8583,13.0953,8.1286,19.69
14.42,13.0953,3.2977,3.2646,3.3099,3.2231,3.2977,6.5623,9.8722,13.0953,8.1286,19.69
14.92,13.0769,3.2927,3.2696,3.3099,3.2047,3.2927,6.5623,9.8722,13.0769,8.2031,19.69
15.41,13.0953,3.2977,3.2646,3.2961,3.2370,3.2977,6.5623,9.8583,13.0953,8.2031,19.69
15.93,13.0769,3.2927,3.2612,3.3182,3.2047,3.2927,6.5540,9.8722,13.0769,8.1286,19.69
16.41,13.0769,3.2927,3.2612,3.3044,3.2185,3.2927,6.5540,9.8583,13.0769,8.1286,19.69
16.91,13.0769,3.2927,3.2612,3.3044,3.2185,3.2927,6.5540,9.8583,13.0769,8.1286,19.69
17.42,13.0769,3.2977,3.2563,3.3182,3.2047,3.2977,6.5540,9.8722,13.0769,8.1286,19.20
17.93,13.0769,3.2927,3.2612,3.3044,3.2185,3.2927,6.5540,9.8583,13.0769,8.1286,19.69
18.41,13.0769,3.2927,3.2696,3.2961,3.2185,3.2927,6.5623,9.8583,13.0769,8.1286,19.69
18.91,13.0953,3.2927,3.2612,3.3182,3.2231,3.2927,6.5540,9.8722,13.0953,8.2031,19.69
19.41,13.0769,3.2878,3.2578,3.3127,3.2185,3.2878,6.5456,9.8583,13.0769,8.1286,19.20
19.92,13.0769,3.2927,3.2612,3.2906,3.2323,3.2927,6.5540,9.8445,13.0769,8.1286,19.69
20.42,13.0769,3.2927,3.2529,3.3127,3.2185,3.2927,6.5456,9.8583,13.0769,8.1286,19.69
20.92,13.0769,3.2927,3.2529,3.2989,3.2323,3.2927,6.5456,9.8445,13.0769,8.1286,19.69
21.43,13.0769,3.2878,3.2578,3.2989,3.2323,3.2878,6.5456,9.8445,13.0769,8.1286,19.69
21.91,13.0585,3.2878,3.2578,3.2989,3.2139,3.2878,6.5456,9.8445,13.0585,8.0540,19.69
22.42,13.0585,3.2878,3.2578,3.2989,3.2139,3.2878,6.5456,9.8445,13.0585,8.2031,20.18
22.92,13.0585,3.2878,3.2661,3.2906,3.2139,3.2878,6.5540,9.8445,13.0585,8.1286,19.20
23.43,13.0585,3.2878,3.2578,3.2989,3.2139,3.2878,6.5456,9.8445,13.0585,8.1286,20.18
23.93,13.0585,3.2878,3.2578,3.2851,3.2277,3.2878,6.5456,9.8307,13.0585,8.1286,20.18
24.41,13.0585,3.2927,3.2529,3.2989,3.2139,3.2927,6.5456,9.8445,13.0585,8.2031,19.69
24.92,13.0400,3.2927,3.2529,3.2989,3.1955,3.2927,6.5456,9.8445,13.0400,8.1286,19.69
25.43,13.0585,3.2878,3.2495,3.2934,3.2277,3.2878,6.5373,9.8307,13.0585,8.1286,19.69
25.91,13.0400,3.2829,3.2544,3.2934,3.2093,3.2829,6.5373,9.8307,13.0400,8.0540,19.69
26.42,13.0585,3.2829,3.2544,3.3072,3.2139,3.2829,6.5373,9.8445,13.0585,8.0540,19.20
26.91,13.0585,3.2829,3.2544,3.2934,3.2277,3.2829,6.5373,9.8307,13.0585,8.2031,19.69
27.43,13.0585,3.2829,3.2544,3.2934,3.2277,3.2829,6.5373,9.8307,13.0585,8.0540,19.69
27.92,13.0400,3.2878,3.2495,3.3072,3.1955,3.2878,6.5373,9.8445,13.0400,8.1286,19.69
28.41,13.0585,3.2829,3.2461,3.3018,3.2277,3.2829,6.5290,9.8307,13.0585,8.1286,19.69
28.91,13.0585,3.2878,3.2412,3.3018,3.2277,3.2878,6.5290,9.8307,13.0585,8.1286,19.69
29.43,13.0400,3.2878,3.2495,3.2934,3.2093,3.2878,6.5373,9.8307,13.0400,8.1286,19.20
29.92,13.0400,3.2878,3.2495,3.2934,3.2093,3.2878,6.5373,9.8307,13.0400,8.1286,19.69
30.41,13.0400,3.2878,3.2412,3.2880,3.2231,3.2878,6.5290,9.8169,13.0400,8.1286,20.18
30.91,13.0585,3.2829,3.2461,3.3018,3.2277,3.2829,6.5290,9.8307,13.0585,8.1286,20.18
31.42,13.0400,3.2829,3.2461,3.2880,3.2231,3.2829,6.5290,9.8169,13.0400,8.2031,19.69
31.93,13.0400,3.2829,3.2544,3.2934,3.2093,3.2829,6.5373,9.8307,13.0400,8.1286,19.69
32.43,13.0400,3.2878,3.2495,3.2796,3.2231,3.2878,6.5373,9.8169,13.0400,8.1286,19.69
32.91,13.0216,3.2780,3.2510,3.2880,3.2047,3.2780,6.5290,9.8169,13.0216,8.1286,19.69
33.41,13.0400,3.2780,3.2510,3.2880,3.2231,3.2780,6.5290,9.8169,13.0400,8.1286,19.69
33.91,13.0216,3.2780,3.2427,3.2963,3.2047,3.2780,6.5206,9.8169,13.0216,8.0540,19.69
34.42,13.0400,3.2780,3.2510,3.2880,3.2231,3.2780,6.5290,9.8169,13.0400,8.0540,19.69
34.92,13.0216,3.2829,3.2461,3.2880,3.2047,3.2829,6.5290,9.8169,13.0216,8.0540,19.69
35.43,13.0032,3.2780,3.2510,3.2880,3.1863,3.2780,6.5290,9.8169,13.0032,8.1286,19.69
35.91,13.0400,3.2730,3.2559,3.2880,3.2231,3.2730,6.5290,9.8169,13.0400,8.1286,19.69
36.43,13.0400,3.2780,3.2510,3.2880,3.2231,3.2780,6.5290,9.8169,13.0400,8.0540,20.18
36.93,13.0216,3.2780,3.2427,3.2963,3.2047,3.2780,6.5206,9.8169,13.0216,8.1286,19.69
37.41,13.0216,3.2780,3.2427,3.2825,3.2185,3.2780,6.5206,9.8031,13.0216,8.1286,19.69
37.91,13.0400,3.2730,3.2476,3.2963,3.2231,3.2730,6.5206,9.8169,13.0400,8.1286,19.69
38.42,13.0216,3.2780,3.2427,3.2963,3.2047,3.2780,6.5206,9.8169,13.0216,8.1286,19.69
38.92,13.0032,3.2780,3.2427,3.2963,3.1863,3.2780,6.5206,9.8169,13.0032,8.1286,19.69
39.43,13.0032,3.2780,3.2343,3.2908,3.2001,3.2780,6.5123,9.8031,13.0032,8.0540,19.69
39.91,13.0032,3.2780,3.2427,3.2825,3.2001,3.2780,6.5206,9.8031,13.0032,8.0540,20.18
40.43,13.0216,3.2780,3.2343,3.2908,3.2185,3.2780,6.5123,9.8031,13.0216,8.1286,19.69
40.91,13.0032,3.2780,3.2427,3.2687,3.2139,3.2780,6.5206,9.7893,13.0032,8.1286,19.69
41.42,13.0032,3.2780,3.2427,3.2825,3.2001,3.2780,6.5206,9.8031,13.0032,8.0540,19.69
41.92,13.0032,3.2780,3.2427,3.2963,3.1863,3.2780,6.5206,9.8169,13.0032,7.9794,19.69
42.41,13.0032,3.2780,3.2343,3.2908,3.2001,3.2780,6.5123,9.8031,13.0032,8.1286,19.69
42.92,13.0032,3.2780,3.2427,3.2825,3.2001,3.2780,6.5206,9.8031,13.0032,8.1286,19.69
43.43,13.0032,3.2730,3.2476,3.2825,3.2001,3.2730,6.5206,9.8031,13.0032,8.1286,19.69
43.91,12.9848,3.2780,3.2427,3.2825,3.1817,3.2780,6.5206,9.8031,12.9848,8.1286,20.18
44.43,13.0032,3.2780,3.2343,3.2770,3.2139,3.2780,6.5123,9.7893,13.0032,8.0540,19.69
44.90,13.0032,3.2730,3.2476,3.2825,3.2001,3.2730,6.5206,9.8031,13.0032,8.2031,19.20
45.41,13.0032,3.2730,3.2393,3.2770,3.2139,3.2730,6.5123,9.7893,13.0032,8.0540,19.69
45.92,13.0032,3.2730,3.2393,3.2770,3.2139,3.2730,6.5123,9.7893,13.0032,8.1286,19.69
46.41,13.0032,3.2730,3.2393,3.2908,3.2001,3.2730,6.5123,9.8031,13.0032,8.0540,19.20
46.92,13.0032,3.2730,3.2476,3.2687,3.2139,3.2730,6.5206,9.7893,13.0032,7.9794,19.69
47.42,13.0032,3.2780,3.2343,3.2908,3.2001,3.2780,6.5123,9.8031,13.0032,8.1286,20.18
47.93,13.0032,3.2730,3.2393,3.2908,3.2001,3.2730,6.5123,9.8031,13.0032,8.1286,19.69
48.42,13.0032,3.2730,3.2393,3.2770,3.2139,3.2730,6.5123,9.7893,13.0032,8.0540,19.69
48.91,12.9848,3.2730,3.2393,3.2770,3.1955,3.2730,6.5123,9.7893,12.9848,8.0540,19.20
49.42,13.0032,3.2730,3.2393,3.2770,3.2139,3.2730,6.5123,9.7893,13.0032,8.1286,19.69
49.91,12.9848,3.2681,3.2442,3.2908,3.1817,3.2681,6.5123,9.8031,12.9848,7.9794,19.69
50.42,12.9848,3.2681,3.2442,3.2770,3.1955,3.2681,6.5123,9.7893,12.9848,8.0540,19.69
50.93,13.0032,3.2730,3.2309,3.2991,3.2001,3.2730,6.5040,9.8031,13.0032,8.0540,19.69
51.40,12.9848,3.2681,3.2442,3.2770,3.1955,3.2681,6.5123,9.7893,12.9848,8.0540,20.18
51.91,12.9848,3.2730,3.2393,3.2770,3.1955,3.2730,6.5123,9.7893,12.9848,8.1286,19.69
52.44,12.9848,3.2730,3.2393,3.2770,3.1955,3.2730,6.5123,9.7893,12.9848,8.0540,19.69
52.92,12.9848,3.2681,3.2442,3.2770,3.1955,3.2681,6.5123,9.7893,12.9848,8.2031,19.69
53.42,12.9848,3.2730,3.2309,3.2715,3.2093,3.2730,6.5040,9.7755,12.9848,8.1286,20.18
53.92,12.9848,3.2730,3.2309,3.2853,3.1955,3.2730,6.5040,9.7893,12.9848,7.9794,19.69
54.43,12.9848,3.2681,3.2359,3.2715,3.2093,3.2681,6.5040,9.7755,12.9848,8.0540,19.69
54.90,12.9664,3.2681,3.2359,3.2853,3.1771,3.2681,6.5040,9.7893,12.9664,8.0540,19.69
55.41,12.9848,3.2730,3.2309,3.2853,3.1955,3.2730,6.5040,9.7893,12.9848,7.9794,20.18
55.92,12.9848,3.2730,3.2309,3.2853,3.1955,3.2730,6.5040,9.7893,12.9848,7.9794,19.69
56.40,12.9848,3.2681,3.2275,3.2936,3.1955,3.2681,6.4957,9.7893,12.9848,8.0540,19.69
56.91,12.9848,3.2681,3.2359,3.2853,3.1955,3.2681,6.5040,9.7893,12.9848,8.0540,19.69
57.41,12.9848,3.2681,3.2359,3.2715,3.2093,3.2681,6.5040,9.7755,12.9848,7.9794,19.69
57.92,12.9848,3.2632,3.2408,3.2715,3.2093,3.2632,6.5040,9.7755,12.9848,8.1286,19.20
58.41,12.9664,3.2681,3.2359,3.2715,3.1909,3.2681,6.5040,9.7755,12.9664,8.0540,19.69
58.91,12.9664,3.2681,3.2275,3.2798,3.1909,3.2681,6.4957,9.7755,12.9664,8.0540,19.20
