Time (s),Pack Voltage (V),Cell 1 Voltage (V),Cell 2 Voltage (V),Cell 3 Voltage (V),Cell 4 Voltage (V),Tap 1S Cumulative Voltage (V),Tap 2S Cumulative Voltage (V),Tap 3S Cumulative Voltage (V),Tap 4S Cumulative Voltage (V),Current (A),Temperature (°C)
0.39,13.0953,3.2681,3.2858,3.2630,3.2784,3.2681,6.5540,9.8169,13.0953,3.8778,19.20
0.89,13.0953,3.2730,3.2892,3.2684,3.2646,3.2730,6.5623,9.8307,13.0953,3.8778,19.20
1.40,13.1137,3.2730,3.2976,3.2601,3.2830,3.2730,6.5706,9.8307,13.1137,3.8778,19.20
1.88,13.1137,3.2780,3.2926,3.2601,3.2830,3.2780,6.5706,9.8307,13.1137,3.8778,19.20
2.39,13.1137,3.2780,3.2926,3.2739,3.2692,3.2780,6.5706,9.8445,13.1137,3.8778,19.20
2.88,13.1137,3.2780,3.2926,3.2739,3.2692,3.2780,6.5706,9.8445,13.1137,3.8778,19.20
3.39,13.1137,3.2829,3.2960,3.2656,3.2692,3.2829,6.5789,9.8445,13.1137,3.9524,19.20
3.90,13.1321,3.2829,3.2960,3.2656,3.2876,3.2829,6.5789,9.8445,13.1321,3.8778,19.20
4.41,13.1321,3.2829,3.2960,3.2656,3.2876,3.2829,6.5789,9.8445,13.1321,3.8778,19.20
4.90,13.1321,3.2829,3.2960,3.2794,3.2738,3.2829,6.5789,9.8583,13.1321,3.8778,19.20
5.41,13.1321,3.2829,3.2960,3.2794,3.2738,3.2829,6.5789,9.8583,13.1321,3.8778,19.20
5.89,13.1506,3.2878,3.2995,3.2711,3.2922,3.2878,6.5873,9.8583,13.1506,3.8778,19.20
6.40,13.1506,3.2878,3.2995,3.2711,3.2922,3.2878,6.5873,9.8583,13.1506,3.8778,19.20
6.88,13.1506,3.2878,3.2995,3.2849,3.2784,3.2878,6.5873,9.8722,13.1506,3.8778,19.20
7.40,13.1506,3.2878,3.2995,3.2849,3.2784,3.2878,6.5873,9.8722,13.1506,3.8778,19.20
