Time (s),Pack Voltage (V),Cell 1 Voltage (V),Cell 2 Voltage (V),Cell 3 Voltage (V),Cell 4 Voltage (V),Tap 1S Cumulative Voltage (V),Tap 2S Cumulative Voltage (V),Tap 3S Cumulative Voltage (V),Tap 4S Cumulative Voltage (V),Current (A),Temperature (°C)
0.57,12.4322,3.0909,3.1382,3.1459,3.0572,3.0909,6.2292,9.3751,12.4507,0.0373,17.23
1.06,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4322,0.0373,19.20
1.56,12.4507,3.0959,3.1416,3.0824,3.1308,3.0959,6.2375,9.3199,12.4507,0.0373,19.20
2.06,12.4322,3.0959,3.1416,3.1238,3.0710,3.0959,6.2375,9.3613,12.4507,0.0373,16.73
2.56,12.4507,3.0959,3.1333,3.1459,3.0756,3.0959,6.2292,9.3751,12.4322,0.2610,21.66
3.06,12.4507,3.0909,3.1466,3.1376,3.0756,3.0909,6.2375,9.3751,12.4507,0.0373,20.67
3.56,12.4322,3.1106,3.1185,3.1321,3.0710,3.1106,6.2292,9.3613,12.4507,0.0373,18.70
4.06,12.4507,3.0959,3.1333,3.1183,3.1032,3.0959,6.2292,9.3475,12.4322,0.1119,17.72
4.56,12.4507,3.1008,3.1284,3.1459,3.0756,3.1008,6.2292,9.3751,12.4507,0.0373,18.70
5.05,12.4507,3.1008,3.1284,3.1321,3.0894,3.1008,6.2292,9.3613,12.4507,0.0373,18.70
5.55,12.4507,3.1057,3.1318,3.1238,3.0894,3.1057,6.2375,9.3613,12.4507,0.0373,17.72
6.05,12.4507,3.0762,3.1530,3.1459,3.0756,3.0762,6.2292,9.3751,12.4507,0.1119,16.24
6.55,12.4138,3.0860,3.1432,3.1459,3.0387,3.0860,6.2292,9.3751,12.4507,0.1119,21.16
7.05,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4138,0.0373,22.15
7.55,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4507,0.1119,18.70
8.05,12.4507,3.0860,3.1432,3.1459,3.0756,3.0860,6.2292,9.3751,12.4507,0.0373,19.69
8.55,12.4507,3.1155,3.0970,3.1350,3.1032,3.1155,6.2125,9.3475,12.4507,0.0373,21.66
9.05,12.4322,3.0909,3.1382,3.1321,3.0710,3.0909,6.2292,9.3613,12.4507,0.1119,13.78
9.54,12.4507,3.0860,3.1432,3.1321,3.0894,3.0860,6.2292,9.3613,12.4322,0.1119,19.69
10.05,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4507,0.1119,18.21
10.55,12.4507,3.0959,3.1416,3.1376,3.0756,3.0959,6.2375,9.3751,12.4507,0.0373,16.73
11.04,12.4138,3.0860,3.1515,3.1238,3.0525,3.0860,6.2375,9.3613,12.4507,0.0373,17.23
11.55,12.4507,3.0909,3.1466,3.1376,3.0756,3.0909,6.2375,9.3751,12.4138,0.0373,18.21
12.05,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4507,0.0373,19.20
12.55,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4507,1.9762,19.69
13.05,12.4138,3.0959,3.1333,3.1045,3.0802,3.0959,6.2292,9.3337,12.4507,0.0373,16.73
13.55,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4138,0.0373,18.21
14.05,12.4507,3.0909,3.1382,3.1183,3.1032,3.0909,6.2292,9.3475,12.4507,0.0373,18.70
14.54,12.4507,3.0909,3.1466,3.1238,3.0894,3.0909,6.2375,9.3613,12.4507,0.3356,17.72
15.04,12.4322,3.0959,3.1333,3.1321,3.0710,3.0959,6.2292,9.3613,12.4507,0.0373,20.67
15.54,12.4507,3.0959,3.1333,3.1183,3.1032,3.0959,6.2292,9.3475,12.4322,0.0373,19.20
16.07,12.4138,3.0909,3.1466,3.1238,3.0525,3.0909,6.2375,9.3613,12.4507,0.0373,18.70
16.54,12.4691,3.0909,3.1299,3.1266,3.1216,3.0909,6.2208,9.3475,12.4138,0.1119,15.75
17.04,12.4507,3.0959,3.1416,3.1238,3.0894,3.0959,6.2375,9.3613,12.4691,0.0373,17.72
17.54,12.4691,3.0909,3.1382,3.1321,3.1078,3.0909,6.2292,9.3613,12.4507,0.0373,19.20
18.04,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4691,0.0373,18.21
18.56,12.4322,3.0959,3.1333,3.1321,3.0710,3.0959,6.2292,9.3613,12.4507,0.0373,21.16
19.06,12.4691,3.0959,3.1333,3.1459,3.0940,3.0959,6.2292,9.3751,12.4322,0.1119,18.21
19.55,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4691,0.0373,19.20
20.06,12.4691,3.0959,3.1250,3.1542,3.0940,3.0959,6.2208,9.3751,12.4507,0.0373,17.72
20.56,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4691,0.0373,19.69
21.06,12.4322,3.0909,3.1382,3.1321,3.0710,3.0909,6.2292,9.3613,12.4507,0.0373,18.70
21.55,12.4691,3.0909,3.1216,3.1764,3.0802,3.0909,6.2125,9.3889,12.4322,0.0373,18.70
22.05,12.4322,3.0909,3.1466,3.1238,3.0710,3.0909,6.2375,9.3613,12.4691,0.0373,17.72
22.55,12.4507,3.0909,3.1382,3.1459,3.0756,3.0909,6.2292,9.3751,12.4322,0.0373,18.70
23.05,12.4322,3.0811,3.1564,3.1376,3.0572,3.0811,6.2375,9.3751,12.4507,1.3050,20.18
23.55,12.4507,3.0762,3.1530,3.1321,3.0894,3.0762,6.2292,9.3613,12.4322,0.0373,18.21
24.05,12.4322,3.0959,3.1333,3.0907,3.1124,3.0959,6.2292,9.3199,12.4507,0.1119,18.70
24.54,12.4691,3.1057,3.1235,3.1459,3.0940,3.1057,6.2292,9.3751,12.4322,0.0373,19.20
25.04,12.4507,3.0860,3.1515,3.1238,3.0894,3.0860,6.2375,9.3613,12.4691,0.0373,20.67
25.54,12.4507,3.0959,3.1333,3.0907,3.1308,3.0959,6.2292,9.3199,12.4507,0.0373,18.70
26.04,12.4691,3.0860,3.1432,3.1321,3.1078,3.0860,6.2292,9.3613,12.4507,0.1119,18.21
26.54,12.4507,3.0959,3.1416,3.1238,3.0894,3.0959,6.2375,9.3613,12.4691,0.0373,15.75
