Time (s),Pack Voltage (V),Cell 1 Voltage (V),Cell 2 Voltage (V),Cell 3 Voltage (V),Cell 4 Voltage (V),Tap 1S Cumulative Voltage (V),Tap 2S Cumulative Voltage (V),Tap 3S Cumulative Voltage (V),Tap 4S Cumulative Voltage (V),Current (A),Temperature (°C)
0.67,13.0953,3.3912,3.4209,3.4052,3.4305,3.3912,6.8121,10.2173,13.6478,0.0559,17.72
1.19,13.1321,3.2780,3.2926,3.3292,3.1955,3.2780,6.5706,9.8998,13.0953,8.3709,20.67
1.67,13.1137,3.3272,3.2434,3.3430,3.2186,3.3272,6.5706,9.9136,13.1321,8.2963,19.20
2.18,13.0953,3.3272,3.2434,3.3292,3.2140,3.3272,6.5706,9.8998,13.1137,8.1472,21.66
2.67,13.0953,3.2977,3.2730,3.3292,3.1955,3.2977,6.5706,9.8998,13.0953,8.1472,19.69
3.16,13.0953,3.3321,3.2302,3.3237,3.2093,3.3321,6.5623,9.8860,13.0953,8.1472,18.70
3.66,13.0953,3.2927,3.2696,3.3375,3.1955,3.2927,6.5623,9.8998,13.0953,8.2963,19.69
4.18,13.0953,3.2927,3.2529,3.3403,3.2093,3.2927,6.5456,9.8860,13.0953,8.1472,17.72
4.67,13.0769,3.2730,3.2809,3.3320,3.2093,3.2730,6.5540,9.8860,13.0953,8.1472,19.20
5.19,13.0953,3.3026,3.2514,3.3182,3.2047,3.3026,6.5540,9.8722,13.0769,8.2218,20.18
5.69,13.0769,3.2829,3.2711,3.3182,3.2231,3.2829,6.5540,9.8722,13.0953,7.9980,17.23
6.16,13.0769,3.2829,3.2627,3.3403,3.1909,3.2829,6.5456,9.8860,13.0769,8.0726,21.16
6.68,13.0585,3.2878,3.2495,3.3487,3.1909,3.2878,6.5373,9.8860,13.0769,8.0726,16.73
7.18,13.0953,3.2977,3.2646,3.3099,3.1863,3.2977,6.5623,9.8722,13.0585,8.0726,15.75
7.68,13.0769,3.2927,3.2446,3.3349,3.2231,3.2927,6.5373,9.8722,13.0953,8.2963,18.21
8.19,13.0585,3.2927,3.2529,3.3127,3.2185,3.2927,6.5456,9.8583,13.0769,8.2963,21.66
8.68,13.0400,3.2927,3.2529,3.3265,3.1863,3.2927,6.5456,9.8722,13.0585,8.0726,19.69
9.17,13.0585,3.2878,3.2495,3.3349,3.1679,3.2878,6.5373,9.8722,13.0400,8.1472,19.69
9.66,13.0585,3.2829,3.2544,3.3072,3.2139,3.2829,6.5373,9.8445,13.0585,8.1472,16.73
10.18,13.0400,3.3026,3.2347,3.3210,3.2001,3.3026,6.5373,9.8583,13.0585,8.0726,15.26
10.66,13.0585,3.3026,3.2431,3.2989,3.1955,3.3026,6.5456,9.8445,13.0400,8.1472,16.73
11.16,13.0400,3.3026,3.2347,3.2934,3.2277,3.3026,6.5373,9.8307,13.0585,8.2218,17.23
11.67,13.0585,3.2977,3.2396,3.2934,3.2093,3.2977,6.5373,9.8307,13.0400,8.1472,25.10
12.16,13.0400,3.2878,3.2412,3.3156,3.2139,3.2878,6.5290,9.8445,13.0585,8.0726,14.77
12.66,13.0400,3.2878,3.2412,3.3018,3.2093,3.2878,6.5290,9.8307,13.0400,8.2218,23.62
13.16,13.0585,3.2878,3.2328,3.3239,3.1955,3.2878,6.5206,9.8445,13.0400,8.2218,22.15
13.68,13.0216,3.2878,3.2328,3.3101,3.2277,3.2878,6.5206,9.8307,13.0585,8.1472,19.20
14.18,13.0216,3.2829,3.2461,3.3018,3.1909,3.2829,6.5290,9.8307,13.0216,8.1472,18.21
14.67,13.0216,3.2829,3.2378,3.3377,3.1633,3.2829,6.5206,9.8583,13.0216,8.1472,19.20
15.18,13.0216,3.2927,3.2279,3.3101,3.1909,3.2927,6.5206,9.8307,13.0216,8.1472,18.70
15.68,13.0216,3.2829,3.2461,3.3156,3.1771,3.2829,6.5290,9.8445,13.0216,8.1472,18.21
16.16,13.0216,3.2829,3.2378,3.3101,3.1909,3.2829,6.5206,9.8307,13.0216,8.0726,18.70
16.67,13.0032,3.2780,3.2427,3.3101,3.1909,3.2780,6.5206,9.8307,13.0216,8.1472,19.20
17.19,13.0032,3.2534,3.2590,3.3046,3.1863,3.2534,6.5123,9.8169,13.0032,8.0726,18.70
17.67,12.9848,3.2878,3.2328,3.3101,3.1725,3.2878,6.5206,9.8307,13.0032,8.0726,21.16
18.16,13.0400,3.2583,3.2540,3.3046,3.1679,3.2583,6.5123,9.8169,12.9848,8.0726,17.72
18.68,13.0032,3.2730,3.2393,3.3046,3.2231,3.2730,6.5123,9.8169,13.0400,8.1472,18.70
19.17,13.0032,3.2977,3.2147,3.3046,3.1863,3.2977,6.5123,9.8169,13.0032,8.2218,18.70
19.68,12.9848,3.2730,3.2393,3.3046,3.1863,3.2730,6.5123,9.8169,13.0032,8.0726,20.67
20.16,12.9848,3.2583,3.2540,3.3322,3.1403,3.2583,6.5123,9.8445,12.9848,8.0726,20.67
